Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,# trades,Taker Buy Base,Taker Buy Quote
2022-12-23 00:00:00,245.7,248.74,244.66,247.06,341039.18,2022-12-23 03:59:59,84127686.2201,101337,187415.57,46243193.7809
2022-12-23 04:00:00,247.06,247.43,245.72,246.47,197197.41,2022-12-23 07:59:59,48589620.7134,66353,88533.49,21815009.1363
2022-12-23 08:00:00,246.47,246.66,244.87,245.84,207922.63,2022-12-23 11:59:59,51110346.0635,68972,97538.68,23975991.0023
2022-12-23 12:00:00,245.84,247.45,243.33,245.16,541892.93,2022-12-23 15:59:59,132958605.6904,162572,266157.18,65321187.3681
2022-12-23 16:00:00,245.17,246.34,244.81,246.11,136805.49,2022-12-23 19:59:59,33599943.2542,49240,67775.73,16647202.0524
2022-12-23 20:00:00,246.1,246.32,245.38,245.95,122576.84,2022-12-23 23:59:59,30137130.4673,42235,63604.49,15638323.9975
2022-12-24 00:00:00,245.95,246.15,244.73,245.71,121243.96,2022-12-24 03:59:59,29757345.4727,40396,60491.93,14847347.8347
2022-12-24 04:00:00,245.72,245.83,244.48,245.36,135786.86,2022-12-24 07:59:59,33285308.1846,46189,70486.57,17279273.2597
2022-12-24 08:00:00,245.33,245.35,243.0,243.74,161769.64,2022-12-24 11:59:59,39512285.4872,51140,72856.03,17797823.6893
2022-12-24 12:00:00,243.73,244.6,243.55,244.16,148251.41,2022-12-24 15:59:59,36186177.494,49869,76114.87,18578953.0199
2022-12-24 16:00:00,244.17,244.96,243.97,244.26,101854.93,2022-12-24 19:59:59,24896375.4864,35312,53815.75,13154911.6303
2022-12-24 20:00:00,244.26,244.69,243.81,244.31,69973.16,2022-12-24 23:59:59,17089083.0529,30099,32559.09,7952441.269
2022-12-25 00:00:00,244.31,245.74,244.19,245.16,115768.46,2022-12-25 03:59:59,28374632.7516,41036,64740.9,15867993.8731
2022-12-25 04:00:00,245.16,245.17,244.24,244.93,78067.18,2022-12-25 07:59:59,19109768.8164,32563,38781.06,9493373.3532
2022-12-25 08:00:00,244.93,245.07,244.26,244.53,82392.05,2022-12-25 11:59:59,20153330.6544,33590,38124.3,9325973.6446
2022-12-25 12:00:00,244.53,245.28,241.0,243.02,417195.39,2022-12-25 15:59:59,101538317.72175,122920,201336.84,49007204.6891
2022-12-25 16:00:00,243.01,243.47,241.33,242.48,260069.92,2022-12-25 19:59:59,63054281.8246,78577,126436.26,30654182.1317
2022-12-25 20:00:00,242.48,243.76,241.2,243.11,201509.07,2022-12-25 23:59:59,48887953.9972,63099,107660.02,26118759.3718
2022-12-26 00:00:00,243.11,244.9,242.2,244.46,220373.57,2022-12-26 03:59:59,53696697.3455,67305,121555.87,29621739.1872
2022-12-26 04:00:00,244.47,244.65,242.9,243.04,115800.2,2022-12-26 07:59:59,28224395.0546,43575,54147.32,13198161.1037
2022-12-26 08:00:00,243.04,243.67,242.37,243.06,140129.86,2022-12-26 11:59:59,34047673.9815,50173,67232.73,16336554.1837
2022-12-26 12:00:00,243.05,243.38,241.71,242.29,151147.45,2022-12-26 15:59:59,36671800.2965,57025,70078.39,17004402.7638
2022-12-26 16:00:00,242.29,243.13,241.88,242.63,105192.4,2022-12-26 19:59:59,25496573.417,44398,53426.62,12950830.4979
2022-12-26 20:00:00,242.64,244.43,242.11,244.26,133262.8,2022-12-26 23:59:59,32393488.5963,49643,74631.69,18145907.0735
2022-12-27 00:00:00,244.26,246.56,242.79,243.26,212363.27,2022-12-27 03:59:59,51836171.42697,70650,111554.43,27237546.31122
